COMPID	CHEMNAME	CHEMPATH
48763	3-methoxycatechol sulfate (1)	Benzoate Metabolism
48407	dopamine 3-O-sulfate	Tyrosine Metabolism
48492	behenoyl sphingomyelin (d18:1/22:0)*	Sphingolipid Metabolism
15736	4-acetamidophenylglucuronide	Drug
32492	caprylate (8:0)	Medium Chain Fatty Acid
46144	methyl glucopyranoside (alpha + beta)	Food Component/Plant
32425	dehydroisoandrosterone sulfate (DHEA-S)	Steroid
52281	2-hydroxybutyrate/2-hydroxyisobutyrate	Glutathione Metabolism
43255	N-acetyl-1-methylhistidine*	Histidine Metabolism
38309	4-hydroxy-2-nonenal	Fatty Acid, Oxidized
35665	N-acetyl-aspartyl-glutamate (NAAG)	Glutamate Metabolism
53180	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	Phosphatidylcholine (PC)
53242	5-bromotryptophan	Tryptophan Metabolism
55015	gamma-glutamyl-alpha-lysine	Gamma-glutamyl Amino Acid
35322	hydroquinone sulfate	Drug
37443	cysteine sulfinic acid	Methionine, Cysteine, SAM and Taurine Metabolism
33228	1-arachidonoyl-GPC (20:4n6)*	Lysophospholipid
32619	pregn steroid monosulfate*	Steroid
48465	5-KETE	Eicosanoid
46106	desmethylnaproxen sulfate	Drug
32458	oleamide	Fatty Acid, Amide
52460	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)*	Phospholipid Metabolism
54745	cetirizine	Drug
53263	docosahexaenoylcholine	Fatty Acid Metabolism (Acyl Choline)
37020	carbamazepine 10,11-epoxide*	Drug
33952	myristoylcarnitine (C14)	Fatty Acid Metabolism(Acyl Carnitine)
52234	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	Ceramides
37516	arabonate	Ascorbate and Aldarate Metabolism
39379	glycoursodeoxycholate	Secondary Bile Acid Metabolism
34404	1,3,7-trimethylurate	Xanthine Metabolism
1587	N-acetylleucine	Leucine, Isoleucine and Valine Metabolism
54958	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*	Diacylglycerol
15136	xanthosine	Purine Metabolism, (Hypo)Xanthine/Inosine containing
43488	N-acetylcarnosine	Dipeptide Derivative
35651	ectoine	Chemical
31934	2-hydroxyadipate	Fatty Acid, Dicarboxylate
21232	2-oleoylglycerol (18:1)	Monoacylglycerol
37093	alanylleucine	Dipeptide
35320	catechol sulfate	Benzoate Metabolism
31928	2-methylbutyrylglycine	Leucine, Isoleucine and Valine Metabolism
43330	2-hydroxyibuprofen	Drug
45404	N-acetylalliin	Food Component/Plant
54910	vanillactate	Tyrosine Metabolism
1644	heptanoate (7:0)	Medium Chain Fatty Acid
57481	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	Sphingolipid Metabolism
31555	pyridoxate	Vitamin B6 Metabolism
33419	2-palmitoylglycerol (16:0)	Monoacylglycerol
52464	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Phosphatidylethanolamine (PE)
35186	1-arachidonoyl-GPE (20:4n6)*	Lysophospholipid
48406	dopamine 4-sulfate	Tyrosine Metabolism
35661	lidocaine	Drug
40045	leucylglycine	Dipeptide
40708	pregnanediol-3-glucuronide	Steroid
52603	1,2-dilinoleoyl-GPC (18:2/18:2)	Phosphatidylcholine (PC)
46173	aconitate [cis or trans]	TCA Cycle
48195	fructose	Fructose, Mannose and Galactose Metabolism
32599	glycocholenate sulfate*	Secondary Bile Acid Metabolism
35159	cysteine-glutathione disulfide	Glutathione Metabolism
1516	sarcosine	Glycine, Serine and Threonine Metabolism
33983	tauro-beta-muricholate	Primary Bile Acid Metabolism
32398	sebacate (decanedioate)	Fatty Acid, Dicarboxylate
15122	glycerol	Glycerolipid Metabolism
15506	choline	Phospholipid Metabolism
41494	alliin	Food Component/Plant
32342	adenosine 5'-monophosphate (AMP)	Purine Metabolism, Adenine containing
32807	taurocholenate sulfate	Secondary Bile Acid Metabolism
17945	2-hydroxystearate	Fatty Acid, Monohydroxy
52988	adipoylcarnitine (C6-DC)	Fatty Acid Metabolism(Acyl Carnitine)
39864	lathosterol	Sterol
27710	N-acetylglycine	Glycine, Serine and Threonine Metabolism
1643	fumarate	TCA Cycle
27738	threonate	Ascorbate and Aldarate Metabolism
43502	N-octanoylglycine	Fatty Acid Metabolism(Acyl Glycine)
1649	valine	Leucine, Isoleucine and Valine Metabolism
43847	glycerol 3-phosphate	Glycerolipid Metabolism
22185	N-acetylaspartate (NAA)	Alanine and Aspartate Metabolism
48269	palmitoyl-linoleoyl-glycerophosphocholine (2)*	Lysolipid
34390	7-methylxanthine	Xanthine Metabolism
22290	2-propylpentanoate (valproate)	Drug
48304	palmitoyl-linoleoyl-glycerophosphoinositol (1)*	Lysolipid
