PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
2746	(15:0)-anacardic acid	Xenobiotics	Food Component/Plant	40719	LC/MS Neg	100003600	5895	347.25917	16611-84-0	167551	C10759	
2747	(15:2)-anacardic acid	Xenobiotics	Food Component/Plant	41397	LC/MS Neg	100003472	5565	343.22786	11034-77-8	11824131		
3341	1-(3-aminopropyl)-2-pyrrolidone	Xenobiotics	Chemical	40506	LC/MS Pos	100003263	1350	143.11789	7663-77-6	82111		
3451	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	48762	LC/MS Neg	100006374	1709	204.98123				
1558	1,2-dipalmitoylglycerol	Lipid	Diacylglycerol	11953	GC/MS	850	2600	145	40290-32-2	99931		HMDB07098
3328	1,2-propanediol	Xenobiotics	Chemical	38002	GC/MS	100001176	1041	117	57-55-6	1030	C00583	HMDB01881
2668	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397	1985	209.06801	5415-44-1	79437	C16361	HMDB02123
2665	1,3-dimethylurate	Xenobiotics	Xanthine Metabolism	32391	LC/MS Neg	100001106	1671.4	195.05236	944-73-0	70346		HMDB01857
1559	1,3-dipalmitoylglycerol	Lipid	Diacylglycerol	35728	GC/MS	1730	2637	371.3	26657-95-4	68149		HMDB31011
761	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	20675	LC/MS Neg	100000580	802	163.06119	154-58-5	64960	C07326	HMDB02712
2767	1,6-anhydroglucose	Xenobiotics	Food Component/Plant	21049	GC/MS	100000939	1679.5	204.1	498-07-7	2724705		HMDB00640
2666	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34400	LC/MS Neg	100001399	1578.6	195.05236	33868-03-0	91611	C16356	HMDB11103
987	10-heptadecenoate (17:1n7)	Lipid	Long Chain Fatty Acid	33971	LC/MS Neg	100001278	5555	267.23295	29743-97-3	5312435		HMDB60038
997	10-nonadecenoate (19:1n9)	Lipid	Long Chain Fatty Acid	33972	LC/MS Neg	100001277	5780	295.26425	73033-09-7	5312513		HMDB13622
976	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	32497	LC/MS Neg	100001197	5085.8	183.13905	1333-28-4			
1687	11-dehydrocorticosterone	Lipid	Steroid	39779	LC/MS Pos	100002781	4533.8	345.20604	72-23-1			
1752	11-ketoetiocholanolone glucuronide	Lipid	Steroid	47135	LC/MS Neg	100005402	4280	479.22865	17181-16-7			
1260	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	38395	LC/MS Neg	62	5137	313.23843	263399-35-5	10236635	C14829	HMDB04705
1331	12-HETE	Lipid	Eicosanoid	37536	LC/MS Neg	100002167	5326	319.22786	71030-37-0;73837-14-6	5312983		HMDB06111
1250	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	37752	LC/MS Neg	100002196	5275	295.22825		43013		
1081	13-methylmyristic acid	Lipid	Fatty Acid, Branched	38293	LC/MS Neg	100002344	5499	241.2173	2485-71-4	151014		
1332	15-HETE	Lipid	Eicosanoid	37538	LC/MS Neg	100000565	5298	319.22786	54845-95-3	5280724	C04742	HMDB02110
1084	15-methylpalmitate (isobar with 2-methylpalmitate)	Lipid	Fatty Acid, Branched	38768	LC/MS Neg	100002945	5695	269.24868		17903417		
1695	16a-hydroxy DHEA 3-sulfate	Lipid	Steroid	38168	LC/MS Neg	100002126	4240	383.15338				
1245	16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	39609	LC/MS Neg	100002953	5236.2	271.22786	506-13-8	10466	C18218	HMDB06294
1756	17alpha-hydroxypregnanolone glucuronide	Lipid	Steroid	47403	LC/MS Neg	100005418	5071.9	509.2756				
1087	17-methylstearate	Lipid	Fatty Acid, Branched	38296	LC/MS Neg	100002356	5993	297.2799	2724-59-6	3083779		
1423	1-arachidonoylglycerophosphocholine (20:4n6)*	Lipid	Lysolipid	33228	LC/MS Pos	100001551	5552	544.33977			C05208	HMDB10395
1452	1-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	35186	LC/MS Neg	100001571	5874	500.27826		42607465		HMDB11517
1473	1-arachidonoylglycerophosphoinositol*	Lipid	Lysolipid	34214	LC/MS Neg	100001654	5482	619.28888				HMDB61690
1484	1-arachidonoylglyercophosphate	Lipid	Lysolipid	46325	LC/MS Neg	100004442	5499	457.23606	799268-65-8			
1545	1-arachidonylglycerol	Lipid	Monoacylglycerol	34397	LC/MS Neg	100001433	6450	303.23293	35474-99-8	5282281	C13857	HMDB11572
1552	1-dihomo-linolenylglycerol (alpha, gamma)	Lipid	Monoacylglycerol	48341	LC/MS Neg	100006121	6220	305.24858				
1544	1-linolenoylglycerol	Lipid	Monoacylglycerol	34393	LC/MS Neg	100001435	6214	277.21728		53480978		HMDB11569
1413	1-linolenoylglycerophosphocholine (18:3n3)*	Lipid	Lysolipid	45951	LC/MS Pos	100005350	5506	518.32412				
1542	1-linoleoylglycerol (1-monolinolein)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040	6477	279.23293	2277-28-3	5283469		
1411	1-linoleoylglycerophosphocholine (18:2n6)	Lipid	Lysolipid	34419	LC/MS Pos	100001395	5575.9	520.33977		11988421	C04100	HMDB10386
1448	1-linoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	32635	LC/MS Neg	100001570	5900	476.27826		52925130		HMDB11507
1469	1-linoleoylglycerophosphoinositol*	Lipid	Lysolipid	36594	LC/MS Neg	100001778	5494	595.28888				
54	1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Neg	100001051	1227	168.07785	332-80-9	92105	C01152	HMDB00001
69	1-methylimidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos	100001208	833	141.06586	2625-49-2	75810	C05828	HMDB02820
2663	1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Pos	100001400	1860.5	183.05127	708-79-2	69726	C16359	HMDB03099
2669	1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405	1568.8	165.0418	6136-37-4	80220	C16358	HMDB10738
1531	1-myristoylglycerol (1-monomyristin)	Lipid	Monoacylglycerol	35625	LC/MS Neg	100001618	6353.3	227.20163	75685-84-6	79050	C01885	HMDB11561
1540	1-oleoylglycerol (1-monoolein)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924	6794	281.24858	111-03-5	5283468		HMDB11567
1408	1-oleoylglycerophosphocholine (18:1)	Lipid	Lysolipid	48258	LC/MS Pos	100001272	5700	522.35542	19420-56-5	16081932		HMDB02815
1444	1-oleoylglycerophosphoethanolamine	Lipid	Lysolipid	35628	LC/MS Neg	100001569	6125.1	478.29391	89576-29-4	9547071		HMDB11506
1491	1-oleoylglycerophosphoglycerol*	Lipid	Lysolipid	45968	LC/MS Neg	100005716	5610	509.28849				
1467	1-oleoylglycerophosphoinositol*	Lipid	Lysolipid	36602	LC/MS Neg	100001777	5599	597.30453				
1476	1-oleoylglycerophosphoserine	Lipid	Lysolipid	19260	LC/MS Neg	100000630	5607	522.28374		9547099		
1436	1-oleoylplasmenylethanolamine*	Lipid	Lysolipid	44621	LC/MS Neg	100005372	6250	462.29899				
1402	1-palmitoleoylglycerophosphocholine (16:1)*	Lipid	Lysolipid	33230	LC/MS Pos	100001511	5525	494.32412		24779461		HMDB10383
1535	1-palmitoylglycerol (1-monopalmitin)	Lipid	Monoacylglycerol	21127	LC/MS Neg	100000827	6400	255.23293	542-44-9	14900		HMDB31074
1481	1-palmitoylglycerophosphate	Lipid	Lysolipid	34428	LC/MS Neg	100001445	5900	409.23606	17618-08-5	6419701	C04036	HMDB00327
1400	1-palmitoylglycerophosphocholine (16:0)	Lipid	Lysolipid	33955	LC/MS Pos	100001263	5670	496.33977	17364-16-8	86554		HMDB10382
1439	1-palmitoylglycerophosphoethanolamine	Lipid	Lysolipid	35631	LC/MS Neg	100001567	6057.2	452.27826		9547069		HMDB11503
1486	1-palmitoylglycerophosphoglycerol*	Lipid	Lysolipid	45970	LC/MS Neg	100005717	5570	483.27284		3300276		
1462	1-palmitoylglycerophosphoinositol*	Lipid	Lysolipid	35305	LC/MS Neg	100001655	5564	571.28888				HMDB61695
1434	1-palmitoylplasmenylethanolamine*	Lipid	Lysolipid	39270	LC/MS Neg	100003000	6285	436.28334				
1534	1-pentadecanoylglycerol (1-monopentadecanoin)	Lipid	Monoacylglycerol	47898	LC/MS Neg	100001431	6200	241.21728		190750		
1538	1-stearoylglycerol (1-monostearin)	Lipid	Monoacylglycerol	21188	GC/MS	100000932	2186.6	399.4	123-94-4;31566-31-1	24699	D01947	HMDB31075
1406	1-stearoylglycerophosphocholine (18:0)	Lipid	Lysolipid	33961	LC/MS Pos	100001271	5847	524.37107	19420-57-6	497299		HMDB10384
1442	1-stearoylglycerophosphoethanolamine	Lipid	Lysolipid	42398	LC/MS Neg	100001461	6514	480.30956	69747-55-3	9547068		HMDB11130
1489	1-stearoylglycerophosphoglycerol	Lipid	Lysolipid	34437	LC/MS Neg	100001462	5816	511.30414				
1465	1-stearoylglycerophosphoinositol	Lipid	Lysolipid	19324	LC/MS Neg	100000656	5794.3	599.32018	796963-93-4			HMDB61696
1475	1-stearoylglycerophosphoserine*	Lipid	Lysolipid	45966	LC/MS Neg	100004327	5800	524.29939		9547101		
1435	1-stearoylplasmenylethanolamine*	Lipid	Lysolipid	39271	LC/MS Neg	100003001	6500	464.31464				
2770	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417	1050	133.05063	1756-18-9	677	C04039	HMDB12141
1655	21-hydroxypregnenolone disulfate	Lipid	Steroid	46115	LC/MS Neg	100001999	3935	245.06711	1164-98-3	134595	C05485	HMDB04026
1652	21-hydroxypregnenolone monosulfate (1)	Lipid	Steroid	37174	LC/MS Neg	100002003	4624	411.18468	88378-34-1	174681		
1653	21-hydroxypregnenolone monosulfate (2)	Lipid	Steroid	37175	LC/MS Neg	100002004	4711	411.18468		10670474		
78	2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Pos	381	793.3	162.07609	542-32-5;1118-90-7	469	C00956	HMDB00510
302	2-aminobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	42374	LC/MS Pos	1128	766.7	104.07061	1492-24-6	439691	C02261	HMDB00650
1151	2-aminoheptanoate	Lipid	Fatty Acid, Amino	43761	LC/MS Pos	100004542	2530	146.11756	1115-90-8	227939		
1156	2-aminooctanoate	Lipid	Fatty Acid, Amino	43343	LC/MS Pos	100004227	3355	160.13321	644-90-6	69522		HMDB00991
3355	2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322	1677	188.0023		181670		HMDB61116
1546	2-arachidonoyl glycerol	Lipid	Monoacylglycerol	19266	LC/MS Neg	100000584	6170	303.23293	53847-30-6	5282280	C13856	HMDB04666
2458	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1412	LC/MS Neg	536	1585.5	111.01997	951-78-0	13712	C00526	HMDB00012
2639	2-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36847	LC/MS Neg	100001809	3416	201.0227				
273	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	36746	LC/MS Neg	100001541	1800	131.07136	488-15-3	164623		HMDB00317
3071	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	33173	LC/MS Neg	100001791	1674	246.00778				
1101	2-hydroxyadipate	Lipid	Fatty Acid, Dicarboxylate	31934	LC/MS Polar	100001153	3000	161.04554	18294-85-4	193530	C02360	HMDB00321
303	2-hydroxybutyrate (AHB)	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	21044	LC/MS Polar	100000933	1258	103.04006	3347-90-8	440864	C05984	HMDB00008
1224	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	42489	LC/MS Neg	100004089	4840	187.13396	5393-81-7	21488		
1098	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	37253	LC/MS Polar	100002070	3352.8	147.02989	40951-21-1	43	C02630	HMDB00606
2601	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Neg	1869	2184	194.04588	487-54-7	10253	C07588	HMDB00840
3082	2-hydroxyibuprofen	Xenobiotics	Drug	43330	LC/MS Pos	100004169	4470	205.12231	51146-55-5			
3376	2-hydroxyisobutyrate	Xenobiotics	Chemical	22030	GC/MS	100000748	1107.5	130.9	594-61-6	11671		HMDB00729
1223	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22036	LC/MS Neg	100000743	3736.8	159.10266	617-73-2	94180		HMDB02264
1226	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	35675	LC/MS Neg	100001579	5511.2	271.22786	764-67-0	92836		HMDB31057
1227	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	17945	LC/MS Neg	1239	5695	299.25917	629-22-1	69417	C03045	
2776	2-isopropylmalate	Xenobiotics	Food Component/Plant	15667	LC/MS Neg	100000409	725	175.06119	3237-44-3	77	C02504	HMDB00402
1543	2-linoleoylglycerol (2-monolinolein)	Lipid	Monoacylglycerol	32506	LC/MS Neg	100000987	6250	279.23293	3443-82-1	5365676		HMDB11538
3078	2-methoxyacetaminophen glucuronide*	Xenobiotics	Drug	33161	LC/MS Pos	100001795	2059.2	375.13981				
3072	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug	47031	LC/MS Neg	100001793	1949	260.02343				
268	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	45095	LC/MS Pos	100001509	2465	246.16999	31023-25-3	6426901		HMDB00378
1166	2-methylmalonyl carnitine	Lipid	Fatty Acid Synthesis	35482	LC/MS Pos	100001596	1552.7	262.12852	149181-64-6	53481628		HMDB13133
3452	2-methyoxyresorcinol sulfate	Xenobiotics	Chemical	48445	LC/MS Neg	100006184	1863	218.99688	1446269-78-8			
1541	2-oleoylglycerol (2-monoolein)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943	6950	281.24858	3443-84-3	5319879		
2777	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Pos	100003109	3208	192.06552	2971-31-5	3080590		
