COMPID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132
40719																																								8250939																																																																																												
41397																																								19428880																																																																																												
40506	266162	132678	187620	793217	399754	514702	160025	180363	757025	386624	258538	195811	199072	730190		230493		174296	177519	103180	171741	118341	123877	238895	206218	23273	205239	464823	857160	64150	120705	253001	352662	274032	222417	156869	160115	101795	190561	685377	110624	523924	725923	107367	312608	192550	621776	308135	160044	34593	47574	681069	147698	259109	82816	759943	1016008	576510	241358	244215	533070	662995	123230	466959	229631	139444	179056	3164786	89032	459189		341495	150433	378983	162310	139532	248097	112029	912892	552132	394892	769208	57935	495726	153199	212392	117259	212315	79078	131919	274112		204002	1974994	383134		96688	394680	417082	853370		80044	113113	98867		191232	25411	17488	17476	94502	244443	29270	81591	177272	163620	92384		200391	157621	147195	153917	137605	239721	213047		95306	115682	86021		598602	54069	
48762	42140204	8050901	1653686	3008621	470795	454968	1135878	513923	828220	126419	5957045	324614	163878	8073921	225498	867470	353824		358980	362225		398651	527813	1805674	714769	186116	1180356	694550	31010694	107802	766511	1970094	26658	1060715	361419	116003	631141	334210	720462	1752930	959532	937384	1480492	1513169	470791	129909	3355099	179260	401174	729667	18801198	963876	135114	5363924	555994	1162492	721380	41067	607890	3003021	1073534	802144	661687	2960041	873326	748196	603194	254104	253277	154205	2031641	246852	134918	1660717	417993	2807837	86362	777485	4908456	820673	772642	440339	65326	16697715	222752	726772	35922	47484	241550	637074	328627	1373462	42049	785636		3300676	1254353	3084501	1318985	167780	193402	26643902	577502	1132564	827405	8232567	764704	2924140	7591788	13583021	669041	1213442	11096882	419648	21910336	6143065	17409996	775170	8274114	1094310	1548677	2196221	850511	492857	600769	248439	3545499	1865439	8222738	2965997	359611	1139740
11953	443216	720334	669397	353298	185796	345355	409970	269167	533036	420825	229752	452292	208818	272656	321911	231582		146816		162469	363720	188001	244574		333658		303496	265395			204568	203822	145568	284616	113798	305932			579706	288105		487199	192256			345067			321404		498019	276914	412357		312951		526015		438437	1213308	330803		194956	192250	232488	298705				190156	400588		396520	289469		261203		444351	481148		305103	227204	401591	263337	538877	256431		315496	413588	234059	345445	227274	235021	384148	178471	317401	208636	192623	311811		304004		324051	479128	183031	302072	359997	185365		309000	443148	137524	305607	207296	320603	306188		798123	312067		256223	349616	276910	357634	312392	457412	269738	482949	342762	859571	665563	233433
38002	600295	6461574	581691	41593664	886644	791733	543749	2920660	911931	759646	605427	554691	10665142	250019	1366803	33213306	3890917	518764	3250741	828642	3800378	1920598	38366968	2220670	1354006	1378339	408625	1642326	8747926	897588	343705	808635	1455432	741425	1290785	434011	36846012	933651	1410794	8254007	633277	1107065	5623888	3700073	547422	593583	313211	716804	7127313	2328488	648518	1058497	532513	2743530	3586217	8860618	4895490	1086926	2200483	576875	865790	888943	1095157	973307	4266866	1094206	638104	689248	1736067	1249454	7677732	1481467	620363	6326126	781095	1242217	259649	2962616	32966020	21748430	1520313	1328556	499773	3988741	402909	7000632	3340378	1398888	4136642	557119	8116498	829056	967135	1644044	925782	4437590	2898671	4961207	916328	1014319	8503660	452009	1099829	1189497	923967	2126012	3942232	30662064	892015	1466542	979855	3453900	685780	381892	617463	535157	694747	716637	1159785	448054	968808	20112584	5175397	759741	2405578	1293878	649550	5678668	565463	2587774	38878876	1050948
34404	3049646	276947					56394														26924		24522	436691	295652				350594				72003					51727	22723					22906				97198	179444		661462					248107	296315	479528	775755	478485				164654					89844	124248	1847985		532798			72651	18737		685942		1051411	611479		242016	284644	1068043	4055661	1401791	14347	70759			8672	288176		247934		1422873	155629			185352	1727278		188496	97385	899292		84312	900967	333439				69846	276947	758942	558549	276947		258242	530162		64619	552771	140970	667104		971490	1071097	108585	78958
32391	1360866	199079			13629		18192				28570										139449			316396	123814	34893			100941							19343		48137	31342		111659	37654	33960	162416				85527	310907		572452	36758				91595	456301	247739	269640	474294		97764		292599					19452	487799	629339		242701		23108	184942	84225		242346		1190643	331340		216815	291555	402794	2449156	1904001	129364	87738		95571	98053	288100		140137		230923	488215		72954	222192	554308	15941	428568	181426	320246		244355	236944	463242	38911	53052		167484	28839	699843	603370	220851		199079	288660		155812	634279	86597	360570	46837	429794	1190042	199079	129375
35728	259170	220403	278386	164856	85038	99521	98356	148734	81400	189866	75003	292954	138295	102186	126541	157433		113937	181664	127500	171936	53774	82837	93498	184750		79251	144132		66148	113226	95763	117057	126674	97866	134490	116275	34809	276081	132489	91068	186757	117832	67476	40967	92551	73044	60987	196063	66950	186642	58384	205844	127722	204024		182504		323369	601819	159982	87395	91568	59678	116054	125649		43015	102463	106361	221858	195090	188283	186644	63360	81830	118427	127722	294767		237239	63900	140312	128769	293050	77895	90412	245850	155574	72367	178400	170881	103507	159930	159815	160322	171365	149521	249081		99917		126211	220596	83456	163784	122955	98383		160072	202756		156754		177920	96721	58943	260860	115598	63859			146734	138619	119252	99558	75921	375504	236670	342919	238122	148801
20675	153921120	166670160	79794024	78175280	95088168	134064296	170417216	106878912	81289320	22024706	135051872	115788856	68254104	116987800	139284240	113977336	90660008	120964808	104292560	112724992	110677472	79214784	69129176	30311982	80560688	89438960	114662784	130418312	147248688	151528896	112704176	140134656	162453552	106662952	89467984	92598224	120952632	68162944	111445584	31225196	159869664	205280096	109052144	124773568	117945904	117731096	145202096	44179128	104307808	154551584	103827736	158421472	144314144	118486784	165451648	152420976	216692496	119866888	138169584	102823456	105931096	57205164	195236976	132408176	74522280	188832960	149283152	289174880	153551376	136007888	144220944	118274496	137367040	168396704	83823320	132340728	134278752	84899568	155453120	121556480	159698944	97965680	111580656	123213320	110626376	116930392	75675400	100769448	118158168	146189856	80286408	92124064	127253872	85139952	27120234	116587128	130249560	84628256	80733496	70665528	139173728	151913248	37936396	69439672	111605096	71339168	75702120	157255840	110595200	147924448	101390136	27766452	140975136	140962656	172517024	143601616	162966384	7820434	119502272	151421744	118701568	117052448	155623168	143264288	145425696	157506496	137324608	100582544	163233280	99623312	135697216	128088024
